exp:x/lambda	exp:y/lambda	exp:z/lambda	theory:x/lambda	theory:y/lambda	theory:z/lambda
0.177231856	0.000305891	0.041203031	-1.527990785	-1.84E-05	0.033336161
0.184940447	0.003480252	0.04087823	-1.518697897	-1.88E-05	0.033336238
0.194630555	0.00192594	0.040469939	-1.509405021	-1.92E-05	0.033336317
0.201642584	0.000921777	0.041017924	-1.500112157	-1.96E-05	0.033336399
0.210728355	0.000390604	0.041885603	-1.490819306	-2.01E-05	0.033336483
0.219097679	0.000866563	0.042684863	-1.481526468	-2.05E-05	0.03333657
0.226946648	0.001040956	0.042918288	-1.472233643	-2.10E-05	0.03333666
0.234463947	0.003238479	0.042124213	-1.462940832	-2.14E-05	0.033336753
0.244698115	0.004208957	0.041043145	-1.453648035	-2.19E-05	0.033336849
0.252284985	-0.000796301	0.040975565	-1.444355253	-2.24E-05	0.033336948
0.259467309	-0.000914169	0.041147975	-1.435062486	-2.29E-05	0.03333705
0.26801731	0.003071084	0.041353215	-1.425769735	-2.35E-05	0.033337155
0.277658834	0.000682482	0.042577163	-1.416476999	-2.40E-05	0.033337264
0.286798004	0.002651183	0.044397927	-1.407184281	-2.45E-05	0.033337377
0.293270933	0.002301482	0.045346863	-1.39789158	-2.51E-05	0.033337493
0.301817478	0.001984183	0.044486979	-1.388598896	-2.57E-05	0.033337614
0.309899386	0.00367338	0.043673842	-1.37930623	-2.63E-05	0.033337738
0.318314694	0.003162429	0.042827162	-1.370013584	-2.69E-05	0.033337867
0.325488318	0.003061311	0.042481467	-1.360720957	-2.75E-05	0.033338
0.332864071	0.003162825	0.042323863	-1.35142835	-2.82E-05	0.033338138
0.341857862	0.002088729	0.042014802	-1.342135764	-2.88E-05	0.03333828
0.349576789	0.004542416	0.041133779	-1.332843199	-2.95E-05	0.033338428
0.35938207	0.003329682	0.040014623	-1.323550657	-3.02E-05	0.03333858
0.367408482	0.002935512	0.039470527	-1.314258137	-3.10E-05	0.033338738
0.375807554	0.004657932	0.039623632	-1.304965641	-3.17E-05	0.033338901
0.383345353	0.00484119	0.039761038	-1.295673169	-3.25E-05	0.033339071
0.390290211	0.003688778	0.039887635	-1.286380723	-3.33E-05	0.033339246
0.399530542	0.005048537	0.039878081	-1.277088303	-3.41E-05	0.033339427
0.408704185	0.005280094	0.039844819	-1.267795909	-3.49E-05	0.033339615
0.416494226	0.00345537	0.039251914	-1.258503544	-3.58E-05	0.03333981
0.424036551	0.00325196	0.03788478	-1.249211207	-3.67E-05	0.033340012
0.432178828	0.003628085	0.036408899	-1.239918901	-3.76E-05	0.033340221
0.442450904	0.005334149	0.035502777	-1.230626625	-3.85E-05	0.033340438
0.449229605	0.004250104	0.036203033	-1.221334381	-3.95E-05	0.033340663
0.460047991	0.005508479	0.037320599	-1.21204217	-4.05E-05	0.033340897
0.466037987	0.006161453	0.037290917	-1.202749993	-4.15E-05	0.033341139
0.474276021	0.00418222	0.036175554	-1.193457852	-4.26E-05	0.03334139
0.482272777	0.005131856	0.035092857	-1.184165747	-4.36E-05	0.03334165
0.489957792	0.004798379	0.034268525	-1.17487368	-4.48E-05	0.033341921
0.497522175	0.004781251	0.033666254	-1.165581652	-4.59E-05	0.033342202
0.504735139	0.00434814	0.033091962	-1.156289665	-4.71E-05	0.033342493
0.514801843	0.004600115	0.031931702	-1.14699772	-4.83E-05	0.033342796
0.522704416	0.005673431	0.030830225	-1.137705819	-4.96E-05	0.03334311
0.529022429	0.004365196	0.029949607	-1.128413963	-5.09E-05	0.033343437
0.537557609	0.005320262	0.03004387	-1.119122154	-5.22E-05	0.033343777
0.545649639	0.004776255	0.031059718	-1.109830393	-5.36E-05	0.033344129
0.555677285	0.005760427	0.032318557	-1.100538683	-5.51E-05	0.033344496
0.562953119	0.003226212	0.03259535	-1.091247024	-5.65E-05	0.033344878
0.569779207	0.005790189	0.032574407	-1.08195542	-5.81E-05	0.033345274
0.57906153	0.005931649	0.032545927	-1.072663871	-5.96E-05	0.033345687
0.588897926	0.004410778	0.031781499	-1.063372382	-6.13E-05	0.033346116
0.59753005	0.006751805	0.031076832	-1.054080951	-6.29E-05	0.033346563
0.603160341	0.003826254	0.030617214	-1.044789585	-6.47E-05	0.033347029
0.612856692	0.003869518	0.030634621	-1.035498282	-6.64E-05	0.033347513
0.618613339	0.003030036	0.030842942	-1.026207048	-6.83E-05	0.033348017
0.628434702	0.003739008	0.031198357	-1.016915882	-7.02E-05	0.033348543
0.635928555	0.00342115	0.031116024	-1.00762479	-7.22E-05	0.03334909
0.643575659	0.004039153	0.030993784	-0.998333773	-7.42E-05	0.03334966
0.652053488	0.001306216	0.030858264	-0.989042835	-7.63E-05	0.033350255
0.660485094	0.001826	0.031316743	-0.979751977	-7.85E-05	0.033350875
0.668924293	0.003500854	0.03202238	-0.970461205	-8.07E-05	0.033351522
0.67484375	0.003455519	0.032517331	-0.96117052	-8.30E-05	0.033352196
0.683669277	0.001092721	0.031769326	-0.951879927	-8.54E-05	0.0333529
0.692024903	0.002232498	0.030642493	-0.942589427	-8.79E-05	0.033353634
0.70084741	0.003818179	0.029452697	-0.933299029	-9.05E-05	0.033354401
0.707471385	0.001966262	0.030151904	-0.92400873	-9.31E-05	0.033355202
0.717629575	0.00225979	0.031784169	-0.91471854	-9.59E-05	0.033356038
0.724522938	0.001916282	0.032449076	-0.90542846	-9.87E-05	0.033356912
0.732204325	0.001035927	0.031617498	-0.896138496	-0.000101635	0.033357825
0.739891117	-0.001112387	0.030785335	-0.886848651	-0.000104678	0.033358779
0.748549477	0.000190516	0.029847991	-0.877558932	-0.000107828	0.033359777
0.758863801	-8.28888E-05	0.029409242	-0.868269341	-0.00011109	0.03336082
0.765344958	-0.000697907	0.029277151	-0.858979887	-0.000114468	0.033361911
0.772664918	-0.001310144	0.029159568	-0.849690573	-0.000117967	0.033363053
0.780990137	-0.001210786	0.029412662	-0.840401406	-0.000121592	0.033364249
0.790197476	-0.001285588	0.029692575	-0.831112392	-0.000125348	0.0333655
0.799842721	-0.001510717	0.029423534	-0.821823536	-0.000129241	0.033366811
