exp: x/lambda	exp: y/lambda	theory: x/lambda	theory: y/lambda
-0.067783558	0.003373237	-2.103753584	-6.00E-06
-0.062004353	0.003666559	-2.094892702	-6.10E-06
-0.061356278	-0.001459812	-2.086031823	-6.21E-06
-0.048466844	0.000963568	-2.077170945	-6.31E-06
-0.052295393	-0.001451455	-2.06831007	-6.42E-06
-0.030693759	-0.005220712	-2.059449197	-6.53E-06
-0.028605547	0.001742594	-2.050588327	-6.64E-06
-0.022565487	0.010739279	-2.041727459	-6.76E-06
-0.014801966	-0.007871138	-2.032866593	-6.88E-06
-0.002341921	0.00192591	-2.02400573	-6.99E-06
0.001193998	0.00032607	-2.01514487	-7.12E-06
0.014585036	-0.00424001	-2.006284012	-7.24E-06
0.022231573	0.002168122	-1.997423157	-7.37E-06
0.028130849	-0.000936548	-1.988562305	-7.49E-06
0.031016336	-0.003845786	-1.979701456	-7.63E-06
0.042486066	-0.003902711	-1.97084061	-7.76E-06
0.052520747	-0.005975834	-1.961979767	-7.90E-06
0.054732271	-0.000727838	-1.953118927	-8.04E-06
0.062402655	-0.000456313	-1.94425809	-8.18E-06
0.068977892	-0.005542664	-1.935397256	-8.32E-06
0.075741075	-0.000736385	-1.926536426	-8.47E-06
0.082584386	-0.005720544	-1.917675599	-8.62E-06
0.096354141	-0.000750731	-1.908814776	-8.78E-06
0.096217971	-0.000555271	-1.899953956	-8.94E-06
0.10521661	-0.000656952	-1.89109314	-9.10E-06
0.113574058	-0.001778501	-1.882232328	-9.26E-06
0.116599876	0.000353648	-1.873371519	-9.43E-06
0.130046014	-0.005453918	-1.864510715	-9.60E-06
0.132030029	0.002277696	-1.855649914	-9.77E-06
0.140999887	0.002301179	-1.846789118	-9.95E-06
0.150749642	-0.002605841	-1.837928326	-1.01E-05
0.156217711	0.005921035	-1.829067538	-1.03E-05
0.161759936	0.002355529	-1.820206755	-1.05E-05
0.176428644	0.002393932	-1.811345976	-1.07E-05
0.176116359	-0.004787458	-1.802485202	-1.09E-05
0.191290988	-0.002820426	-1.793624433	-1.11E-05
0.191542462	-0.000598047	-1.784763669	-1.13E-05
0.200559271	-0.000320029	-1.77590291	-1.15E-05
0.202935047	-0.000775307	-1.767042157	-1.17E-05
0.215641976	0.00427997	-1.758181408	-1.20E-05
0.221219749	0.002511195	-1.749320665	-1.22E-05
0.230354557	0.005537569	-1.740459928	-1.24E-05
0.236768833	0.001109258	-1.731599196	-1.27E-05
0.250722666	0.005740681	-1.722738471	-1.29E-05
0.250451015	0.006830364	-1.713877751	-1.31E-05
0.260237944	0.002613344	-1.705017038	-1.34E-05
0.270494303	0.003102083	-1.696156331	-1.37E-05
0.272817331	0.006460695	-1.687295631	-1.39E-05
0.286625544	0.008628408	-1.678434938	-1.42E-05
0.287842477	0.005251578	-1.669574252	-1.45E-05
0.296880208	0.002269497	-1.660713572	-1.48E-05
0.301663391	-0.000188533	-1.651852901	-1.50E-05
0.309473647	0.011619801	-1.642992236	-1.53E-05
0.321239752	0.009626138	-1.63413158	-1.56E-05
0.327958841	0.005539561	-1.625270931	-1.60E-05
0.325261816	-7.46E-05	-1.616410291	-1.63E-05
0.341637703	0.002314277	-1.607549659	-1.66E-05
0.343775727	0.004003368	-1.598689036	-1.69E-05
0.352426306	0.00260941	-1.589828421	-1.73E-05
0.363923302	0.008830774	-1.580967816	-1.76E-05
0.367254489	0.008839495	-1.57210722	-1.80E-05
0.380763947	0.007525886	-1.563246634	-1.83E-05
0.381761246	0.005517577	-1.554386058	-1.87E-05
0.393653209	0.005958859	-1.545525492	-1.91E-05
0.397034809	0.007980321	-1.536664937	-1.95E-05
0.408543735	0.008648799	-1.527804393	-1.99E-05
0.417437134	0.008722913	-1.51894386	-2.03E-05
0.41878799	0.008767181	-1.510083338	-2.07E-05
0.424982802	0.008105184	-1.501222828	-2.12E-05
0.443929291	0.00904023	-1.492362331	-2.16E-05
0.443328896	0.007859585	-1.483501845	-2.21E-05
0.451748493	0.003179057	-1.474641373	-2.25E-05
0.459059004	0.00626733	-1.465780914	-2.30E-05
0.462807113	0.002376822	-1.456920469	-2.35E-05
0.468859224	0.007153882	-1.448060038	-2.40E-05
0.476896948	0.009126539	-1.439199622	-2.45E-05
0.476896948	0.006151435	-1.430339221	-2.51E-05
0.488213984	0.009141115	-1.421478835	-2.56E-05
0.501714533	0.008130206	-1.412618465	-2.62E-05
0.515910623	0.006345581	-1.403758111	-2.67E-05
0.510598048	0.005346903	-1.394897774	-2.73E-05
0.524556966	0.006157695	-1.386037455	-2.79E-05
0.533245353	0.006128844	-1.377177154	-2.86E-05
0.538256367	0.003317807	-1.368316871	-2.92E-05
0.54516415	0.006287846	-1.359456608	-2.98E-05
0.551145765	0.000324742	-1.350596364	-3.05E-05
0.566086669	0.006614213	-1.341736141	-3.12E-05
0.566128571	0.007361458	-1.332875938	-3.19E-05
0.57259645	0.002682688	-1.324015758	-3.26E-05
0.577978631	0.009074652	-1.3151556	-3.34E-05
0.585850314	-0.004257967	-1.306295464	-3.41E-05
0.596964093	0.001256246	-1.297435353	-3.49E-05
0.598457853	0.003498804	-1.288575267	-3.57E-05
0.604866148	0.006822736	-1.279715206	-3.66E-05
0.616742925	0.000398833	-1.270855171	-3.74E-05
0.620748733	0.006054522	-1.261995163	-3.83E-05
0.632596993	0.008660936	-1.253135183	-3.92E-05
0.634331855	0.00211127	-1.244275233	-4.02E-05
0.643839984	0.006655648	-1.235415312	-4.11E-05
0.653430096	0.003762662	-1.226555423	-4.21E-05
0.662561834	0.001949735	-1.217695565	-4.31E-05
0.665637264	0.003482396	-1.20883574	-4.42E-05
0.673114333	0.006688218	-1.19997595	-4.52E-05
0.677566862	-0.000778367	-1.191116195	-4.63E-05
0.687779523	-0.002213333	-1.182256477	-4.75E-05
0.688768446	-0.000495003	-1.173396797	-4.86E-05
0.693805507	0.00408555	-1.164537156	-4.98E-05
0.708790221	0.003787654	-1.155677555	-5.11E-05
0.723835455	0.000908126	-1.146817996	-5.24E-05
0.726095634	0.001789093	-1.137958481	-5.37E-05
0.726656046	-0.000990421	-1.129099011	-5.50E-05
0.736458795	-0.010051526	-1.120239588	-5.64E-05
0.743946228	-0.000157366	-1.111380213	-5.79E-05
0.750160044	-0.00498103	-1.102520888	-5.94E-05
0.761050092	0.001872035	-1.093661615	-6.09E-05
0.769791575	0.003229149	-1.084802395	-6.25E-05
0.773104207	-0.003102781	-1.075943231	-6.41E-05
0.778792074	-0.001123473	-1.067084125	-6.58E-05
0.789751981	-0.003415109	-1.058225079	-6.75E-05
0.789246102	-0.001956657	-1.049366094	-6.93E-05
0.797807129	-0.003275828	-1.040507174	-7.11E-05
0.813164298	-0.010798473	-1.031648321	-7.30E-05
0.806333821	-0.009449741	-1.022789537	-7.50E-05
0.823765419	0.000154919	-1.013930824	-7.70E-05
0.833998302	-0.007820688	-1.005072186	-7.91E-05
0.838268307	0.000429443	-0.996213626	-8.13E-05
0.845547793	-0.010537827	-0.987355146	-8.35E-05
0.851493774	-0.004886216	-0.978496749	-8.58E-05
0.859804314	-0.00497574	-0.969638439	-8.82E-05
0.86485125	-0.005219173	-0.960780219	-9.07E-05
0.8752777	-0.004838188	-0.951922093	-9.32E-05
0.877578748	-0.006513445	-0.943064062	-9.58E-05
0.884632428	-0.001428956	-0.934206134	-9.86E-05
0.888360416	-0.010184935	-0.92534831	-0.000101369
0.897182676	-0.009461424	-0.916490594	-0.000104274
0.910986529	-0.006010844	-0.907632993	-0.00010728
0.910953588	-0.010458904	-0.898775509	-0.000110389
0.925883148	-0.013481941	-0.889918148	-0.000113606
0.932734694	-0.013830237	-0.881060914	-0.000116934
