exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
0.162751112	-2.70173E-05	0.034515073	-1.527983458	-1.21E-05	0.033335171
0.170555054	0.000670744	0.035215184	-1.518690406	-1.23E-05	0.03333522
0.179969745	0.000580385	0.036045443	-1.509397372	-1.26E-05	0.033335271
0.187244592	-0.000148376	0.036009164	-1.500104334	-1.29E-05	0.033335324
0.194770972	0.000241947	0.036048888	-1.490811316	-1.32E-05	0.033335379
0.203340882	-0.00053068	0.036993242	-1.48151829	-1.34E-05	0.033335434
0.210383143	0.000652018	0.037769257	-1.472225291	-1.37E-05	0.033335492
0.21999459	0.000714762	0.036999818	-1.462932289	-1.40E-05	0.033335552
0.22802741	0.000222033	0.036189206	-1.453639306	-1.44E-05	0.033335614
0.234991553	0.000339611	0.035476182	-1.444346325	-1.47E-05	0.033335677
0.242615652	0.000707576	0.034695589	-1.435053358	-1.50E-05	0.033335743
0.250443381	0.000851348	0.035391662	-1.425760396	-1.54E-05	0.033335811
0.257919627	0.00133412	0.036748173	-1.416467447	-1.57E-05	0.033335881
0.26867894	0.00213504	0.03824182	-1.407174506	-1.61E-05	0.033335953
0.276555419	0.000185559	0.039134584	-1.397881574	-1.64E-05	0.033336027
0.28401271	0.001721141	0.039009457	-1.388588658	-1.68E-05	0.033336105
0.291738162	0.002333972	0.0387919	-1.379295749	-1.72E-05	0.033336184
0.300364688	0.001284733	0.038152219	-1.370002853	-1.76E-05	0.033336266
0.308857076	0.003279771	0.037530506	-1.360709962	-1.80E-05	0.03333635
0.317826794	0.002049648	0.037335608	-1.351417093	-1.84E-05	0.033336438
0.323752222	0.002531182	0.037206857	-1.34212423	-1.88E-05	0.033336528
0.334429151	0.002471315	0.038129646	-1.332831402	-1.93E-05	0.033336624
0.340229331	0.002335146	0.03858211	-1.323538569	-1.97E-05	0.033336721
0.349629513	0.003032458	0.039103647	-1.314245773	-2.02E-05	0.033336824
0.357708012	0.003253902	0.039192589	-1.30495297	-2.07E-05	0.033336927
0.365247659	0.002434855	0.037103087	-1.295660199	-2.12E-05	0.033337037
0.37456503	0.004135042	0.03515405	-1.28636743	-2.17E-05	0.033337148
0.383606483	0.004744672	0.03506529	-1.277074697	-2.22E-05	0.033337266
0.391373362	0.004130326	0.034989043	-1.267781964	-2.28E-05	0.033337385
0.399127799	0.001865153	0.034932813	-1.258489266	-2.34E-05	0.033337511
0.406387247	0.003511435	0.034880391	-1.24919657	-2.39E-05	0.03333764
0.415060219	0.003978461	0.037409452	-1.239903905	-2.45E-05	0.033337775
0.422911688	0.003346132	0.037633308	-1.230611256	-2.51E-05	0.033337914
0.43231964	0.002901449	0.03644636	-1.221318623	-2.58E-05	0.033338058
0.439554322	0.003554793	0.036130774	-1.212026015	-2.64E-05	0.033338207
0.44704908	0.002730004	0.036376048	-1.20273342	-2.71E-05	0.033338361
0.456703711	0.00442578	0.036692006	-1.193440845	-2.77E-05	0.03333852
0.465122048	0.00410426	0.036084605	-1.184148301	-2.85E-05	0.033338686
0.473562539	0.004994541	0.03544519	-1.174855779	-2.92E-05	0.033338858
0.481348412	0.003706141	0.034354378	-1.165563283	-2.99E-05	0.033339037
0.488843521	0.003136911	0.033508872	-1.156270816	-3.07E-05	0.033339222
0.495220479	0.005036127	0.032964353	-1.14697837	-3.15E-05	0.033339414
0.50505016	0.003928001	0.032135617	-1.137685962	-3.23E-05	0.033339615
0.514203868	0.004870028	0.031415752	-1.12839356	-3.31E-05	0.03333982
0.520858411	0.004403289	0.032154149	-1.119101207	-3.40E-05	0.033340036
0.528620476	0.003425904	0.033783545	-1.109808868	-3.49E-05	0.033340258
0.536477453	0.003328432	0.033863949	-1.100516581	-3.58E-05	0.033340491
0.545015434	0.002237154	0.03319515	-1.091224306	-3.68E-05	0.033340731
0.552724228	0.002817886	0.032229259	-1.0819321	-3.78E-05	0.033340985
0.561782514	0.003014581	0.030801404	-1.072639904	-3.88E-05	0.033341245
0.569327022	0.003400067	0.029612595	-1.063347746	-3.98E-05	0.033341517
