exp: a=1.6 x/lambda	exp: a=1.6 y/lambda	exp: a=2.0 x/lambda	exp: a=2.0 y/lambda	theory: x/lambda	theory: y/lambda
1.209385355	0.00141599	1.564685244	0.006057637	2.600451977	0.002893647
1.211483692	0.003246363	1.570823055	0.006986505	2.609935945	0.002703019
1.216062422	0.003207946	1.576775373	0.007280164	2.619506181	0.002482188
1.221111709	0.001032226	1.585566469	0.004763118	2.629084006	0.002243559
1.22589577	0.003284906	1.590968298	0.006335816	2.638671727	0.001987881
1.228834955	4.46E-05	1.593743675	0.006025327	2.648271461	0.001715975
1.234154294	0.00175433	1.599514936	0.005989826	2.657885067	0.001428731
1.240074709	-0.000402068	1.606922367	0.007571396	2.667514072	0.00112711
1.244081015	0.001452974	1.611126623	0.005739935	2.677159613	0.000812136
1.248967059	0.001623662	1.619062952	0.004275694	2.686822366	0.000484898
1.250516612	0.003848683	1.622809135	0.004011786	2.696502499	0.000146543
1.2579761	0.002124948	1.629128639	0.005573497	2.706199627	-0.000201729
1.261341573	0.0008568	1.634304345	0.00500945	2.7159128	-0.000558667
1.265137296	0.000925452	1.638878209	0.006451951	2.725640493	-0.000922973
1.271388351	0.002713418	1.645151847	0.003933044	2.735380638	-0.001293311
1.274966935	0.003033455	1.650892017	0.005256943	2.745130672	-0.001668312
1.277617329	0.001979949	1.655460092	0.005946615	2.754887614	-0.002046578
1.28286086	0.001583244	1.663110078	0.003791112	2.764648162	-0.002426693
1.286536789	0.001395163	1.667447252	0.002704971	2.774408817	-0.002807229
1.29247872	0.002956671	1.674982386	0.005800752	2.784166007	-0.003186756
1.297322453	0.003178481	1.680137423	0.004037334	2.793916226	-0.003563848
1.299289232	0.00294167	1.686745997	0.001673107	2.803656168	-0.003937092
1.304733696	0.002092423	1.690513574	0.001943788	2.813382846	-0.004305101
1.310612293	0.004644089	1.698270334	0.003711426	2.823093697	-0.004666513
1.312302588	0.00324624	1.701050526	0.002703338	2.832786665	-0.005020005
1.318991255	0.002931108	1.709348514	0.003410826	2.842460257	-0.005364297
