exp: x/lambda	exp: y/lambda	exp:z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda								
-0.456089749	-0.000254221	0.028904829	-2.234274365	-8.66E-06	0.033334322								
-0.448560763	0.000644255	0.027896679	-2.224981195	-8.82E-06	0.033334342								
-0.441431436	-0.001015157	0.026942044	-2.21568803	-8.98E-06	0.033334364								
-0.433114658	0.001109017	0.030512652	-2.206394867	-9.14E-06	0.033334386								
-0.424521891	-0.000220768	0.034177269	-2.19710171	-9.30E-06	0.033334408								
-0.417868362	0.001075545	0.032122199	-2.187808556	-9.47E-06	0.033334432								
-0.410957814	1.6953E-05	0.029987743	-2.178515404	-9.64E-06	0.033334455								
-0.400672286	0.00207464	0.032592466	-2.169222258	-9.82E-06	0.033334479								
-0.392993493	0.000684291	0.036924975	-2.159929115	-9.99E-06	0.033334504								
-0.384914383	0.00093673	0.032798464	-2.150635979	-1.02E-05	0.03333453								
-0.377965607	-0.000214307	0.029925005	-2.141342843	-1.04E-05	0.033334556								
-0.368626147	0.001489021	0.030145232	-2.132049714	-1.06E-05	0.033334582								
-0.361290708	0.001328935	0.030318204	-2.122756585	-1.07E-05	0.033334609								
-0.35262105	0.000387726	0.031626937	-2.113463466	-1.09E-05	0.033334637								
-0.344755832	-0.000562016	0.033171422	-2.104170345	-1.11E-05	0.033334666								
-0.33755049	-0.001444383	0.033305527	-2.094877233	-1.13E-05	0.033334695								
-0.327686851	-0.000562142	0.033489108	-2.085584124	-1.16E-05	0.033334725								
-0.320899456	0.000177294	0.033520923	-2.076291023	-1.18E-05	0.033334756								
-0.313661556	-0.002893364	0.030342367	-2.06699792	-1.20E-05	0.033334787								
-0.305506234	-0.001701538	0.027850988	-2.057704827	-1.22E-05	0.033334819								
-0.296472589	1.60E-05	0.027100009	-2.048411734	-1.24E-05	0.033334852								
-0.289195207	-0.001027634	0.029117617	-2.03911865	-1.27E-05	0.033334886								
-0.281243683	-2.14417E-05	0.033482528	-2.029825572	-1.29E-05	0.033334921								
-0.273485349	-0.001993183	0.033357144	-2.020532498	-1.31E-05	0.033334956								
-0.266246066	-0.001888614	0.033240149	-2.01123943	-1.34E-05	0.033334992								
-0.257448902	0.001148816	0.033561041	-2.00194637	-1.36E-05	0.03333503								
-0.250079291	-0.001034737	0.036030521	-1.992653315	-1.39E-05	0.033335068								
-0.240878934	-0.000702613	0.034223872	-1.983360267	-1.41E-05	0.033335108								
-0.235040436	-0.000823227	0.030668502	-1.974067225	-1.44E-05	0.033335148								
-0.227873091	-0.002279932	0.031339924	-1.964774191	-1.47E-05	0.03333519								
-0.219318343	-0.001906699	0.036026264	-1.955481162	-1.50E-05	0.033335232								
-0.208294191	-0.000793032	0.038123205	-1.946188143	-1.53E-05	0.033335276								
-0.200633612	-0.002067203	0.038817719	-1.936895131	-1.55E-05	0.033335321								
-0.194254271	-0.003137348	0.038317401	-1.927602129	-1.58E-05	0.033335368								
-0.187237512	-0.00181331	0.036381768	-1.918309131	-1.62E-05	0.033335416								
-0.177155105	-0.003173609	0.034017764	-1.909016145	-1.65E-05	0.033335465								
-0.168241175	-0.001638416	0.034829579	-1.89972316	-1.68E-05	0.033335515								
-0.161710472	-0.002229342	0.038298352	-1.890430186	-1.71E-05	0.033335566								
-0.154229337	-0.002540323	0.042271945	-1.881137221	-1.74E-05	0.033335619								
-0.148825435	-0.002332406	0.040485117	-1.871844261	-1.78E-05	0.033335673								
-0.139524711	-0.00187766	0.036069939	-1.862551312	-1.81E-05	0.033335729								
-0.131432158	-0.003489746	0.038458384	-1.853258369	-1.85E-05	0.033335785								
-0.124181956	-0.002662476	0.040598215	-1.843965435	-1.88E-05	0.033335844								
-0.115879238	-0.003040358	0.041812247	-1.834672507	-1.92E-05	0.033335904								
-0.106140373	-0.00205617	0.042482255	-1.825379597	-1.96E-05	0.033335966								
-0.098158801	-0.002384468	0.038887784	-1.81608669	-2.00E-05	0.033336029								
-0.091821775	-0.001393732	0.03507053	-1.8067938	-2.04E-05	0.033336095								
-0.083959485	-0.004013065	0.034611044	-1.797500913	-2.08E-05	0.033336162								
-0.075847197	-0.00351838	0.039058594	-1.788208044	-2.12E-05	0.033336232								
-0.066464201	-0.002809001	0.039914025	-1.778915183	-2.16E-05	0.033336303								
-0.059997908	-0.003214221	0.039679119	-1.769622337	-2.21E-05	0.033336377								
-0.052012513	-0.004117257	0.038626009	-1.760329496	-2.25E-05	0.033336452								
-0.044012711	-0.002098953	0.037378901	-1.751036673	-2.30E-05	0.033336529								
-0.036067959	-0.003224415	0.036791388	-1.741743859	-2.34E-05	0.033336609								
-0.026071174	-0.002738943	0.038586068	-1.732451059	-2.39E-05	0.033336691								
-0.019196593	-0.003903962	0.038700491	-1.723158271	-2.44E-05	0.033336776								
-0.012701487	-0.003304275	0.038808597	-1.713865496	-2.49E-05	0.033336862								
-0.003466494	-0.003473534	0.039432717	-1.70457274	-2.54E-05	0.033336952								
0.003954509	-0.003237142	0.040517481	-1.695279995	-2.60E-05	0.033337045								
0.011384311	-0.004279526	0.04160353	-1.685987264	-2.65E-05	0.03333714								
0.020538676	-0.004236978	0.04177592	-1.676694555	-2.71E-05	0.033337238								
0.028863901	-0.002978637	0.041973138	-1.667401857	-2.76E-05	0.033337339								
0.035600187	-0.003534597	0.043728731	-1.658109174	-2.82E-05	0.033337443								
0.042340613	-0.002492447	0.044836745	-1.648816507	-2.88E-05	0.03333755								
0.04956562	-0.003158894	0.043929825	-1.639523856	-2.94E-05	0.03333766								
0.059152402	-0.003447169	0.043191492	-1.630231219	-3.00E-05	0.033337773								
0.067995592	-0.001245708	0.04510203	-1.620938599	-3.07E-05	0.03333789								
0.075694325	-0.004846323	0.045814857	-1.611646002	-3.13E-05	0.033338011								
0.081993661	-0.002389567	0.045408526	-1.602353406	-3.20E-05	0.033338133								
0.091551413	-0.000775823	0.044942937	-1.593060845	-3.27E-05	0.033338261								
0.099608343	-0.000560264	0.045650371	-1.583768289	-3.34E-05	0.033338391								
0.109175813	-0.001696729	0.046490437	-1.574475765	-3.41E-05	0.033338527								
0.115227436	-0.001697334	0.045733742	-1.565183257	-3.48E-05	0.033338665								
0.123259486	-0.002141867	0.044300264	-1.555890777	-3.56E-05	0.03333881								
0.131264877	-0.00193686	0.044101179	-1.546598307	-3.64E-05	0.033338957								
0.138854128	-0.001136452	0.044829255	-1.53730587	-3.72E-05	0.03333911								
0.146571595	-0.000369278	0.045522856	-1.528013453	-3.80E-05	0.033339268								
0.155292895	0.000271872	0.046057048	-1.518721065	-3.88E-05	0.033339432								
0.163090157	-0.001449208	0.045684536	-1.509428702	-3.97E-05	0.0333396								
0.171301904	-0.001115189	0.044929936	-1.500136366	-4.06E-05	0.033339775								
0.17828925	0.000428335	0.045345764	-1.490844053	-4.15E-05	0.033339954								
0.188420434	-0.001079559	0.045625701	-1.481551768	-4.24E-05	0.03334014								
0.197838183	0.000576184	0.045347824	-1.472259513	-4.34E-05	0.033340331								
0.202244993	0.001651677	0.045217798	-1.462967295	-4.44E-05	0.033340531								
0.211264797	0.000938836	0.045610676	-1.453675099	-4.54E-05	0.033340736								
0.221060733	-0.000429439	0.0467623	-1.444382963	-4.65E-05	0.033340951								
0.228056537	0.002524865	0.047980121	-1.435090836	-4.75E-05	0.03334117								
0.236911732	0.002147941	0.048264309	-1.425798755	-4.86E-05	0.033341399								
0.243740737	0.001511336	0.047276717	-1.416506704	-4.98E-05	0.033341634								
0.252638624	0.000831785	0.046859258	-1.407214671	-5.09E-05	0.033341875								
0.259568078	0.000360224	0.049171861	-1.39792269	-5.21E-05	0.033342126								
0.269565425	0.001467942	0.052508328	-1.388630742	-5.33E-05	0.033342386								
0.27496963	0.002070866	0.052921329	-1.379338832	-5.46E-05	0.033342654								
0.283764957	0.001836461	0.050591885	-1.370046955	-5.59E-05	0.03334293								
0.291747665	0.000155704	0.04890606	-1.360755129	-5.72E-05	0.033343218								
0.300412526	0.002482618	0.047736348	-1.35146333	-5.86E-05	0.033343513								
0.308700119	0.002328429	0.046481823	-1.342171579	-6.00E-05	0.03334382								
0.316050947	0.00327011	0.045368972	-1.332879885	-6.14E-05	0.033344138								
0.324097789	0.004353518	0.046226977	-1.323588255	-6.29E-05	0.03334447								
0.332521453	0.003261294	0.047801106	-1.314296653	-6.44E-05	0.033344811								
0.339327034	0.003567968	0.046822148	-1.305005121	-6.60E-05	0.033345166								
0.350049574	0.002807881	0.044214178	-1.295713603	-6.76E-05	0.03334553								
0.356381559	0.0031459	0.041575098	-1.28642216	-6.93E-05	0.03334591								
0.365321112	0.005831436	0.038247422	-1.277130772	-7.10E-05	0.033346303								
0.371893442	0.004269778	0.039133912	-1.26783944	-7.28E-05	0.03334671								
0.380470532	0.004425293	0.040290808	-1.258548172	-7.46E-05	0.033347133								
0.390652091	0.005172281	0.041855419	-1.24925697	-7.65E-05	0.033347573								
0.397278728	0.004887116	0.041554637	-1.23996582	-7.84E-05	0.033348027								
0.404624714	0.005075111	0.040110204	-1.230674742	-8.04E-05	0.0333485								
0.413526788	0.005152615	0.0383598	-1.221383741	-8.24E-05	0.033348991								
0.420306779	0.006420735	0.039835028	-1.21209282	-8.46E-05	0.033349503								
0.428623889	0.005894808	0.04349193	-1.202801976	-8.67E-05	0.033350033								
0.436518565	0.006300998	0.04334954	-1.193511195	-8.90E-05	0.033350583								
0.444697715	0.006097257	0.039019038	-1.184220518	-9.13E-05	0.033351156								
0.451939729	0.006774846	0.038634374	-1.174929869	-9.37E-05	0.033351745								
0.463569029	0.006624064	0.038698488	-1.165639354	-9.61E-05	0.033352364								
0.46848568	0.008123842	0.038208166	-1.156348893	-9.87E-05	0.033353001								
0.47718071	0.007008519	0.037341039	-1.147058545	-0.000101284	0.033353669								
0.484429225	0.004940394	0.036805617	-1.137768275	-0.000103964	0.033354358								
0.492833515	0.006987534	0.036341565	-1.128478124	-0.000106753	0.033355079								
0.501874865	0.007333188	0.036036541	-1.119188036	-0.000109608	0.033355823								
0.508419539	0.005849653	0.036205834	-1.109898096	-0.000112568	0.033356604								
0.518199229	0.007116463	0.035970393	-1.100608213	-0.00011562	0.033357409								
0.524584132	0.007169634	0.03568213	-1.091318468	-0.000118749	0.033358248								
0.534369163	0.00627535	0.035750536	-1.082028813	-0.00012199	0.033359119								
0.540771727	0.006219762	0.036035012	-1.072739306	-0.000125328	0.033360028								
0.549726194	0.006613177	0.036770144	-1.063449924	-0.000128805	0.033360979								
0.556057094	0.004492398	0.037291093	-1.054160665	-0.000132364	0.033361966								
0.564346338	0.004984275	0.036961791	-1.044871555	-0.000136072	0.033362998								
0.571396147	0.004044931	0.035647962	-1.03558254	-0.000139868	0.033364064								
0.578204497	0.003773577	0.03358354	-1.026293743	-0.000143845	0.033365189								
0.588493785	0.004907804	0.03046363	-1.017005055	-0.000147913	0.033366354								
0.596542019	0.004507009	0.028686538	-1.007716608	-0.000152181	0.033367585								
0.60387439	0.004252856	0.036239984	-0.998428236	-0.000156522	0.033368851								
0.61305096	0.003858828	0.036073397	-0.989140063	-0.000161042	0.033370179								
0.619639424	0.003295567	0.035312397	-0.979852014	-0.000165687	0.033371555								
0.625785011	0.002626012	0.034385979	-0.970564256	-0.000170539	0.033373011								
0.636141024	0.003831244	0.032063376	-0.961276537	-0.000175432	0.033374497								
0.644648344	0.00404983	0.028925977	-0.951989195	-0.000180644	0.033376089								
0.651662396	0.001995391	0.026635221	-0.942701926	-0.000185909	0.033377721								
0.659214873	0.001900515	0.031681269	-0.933414982	-0.000191482	0.033379455								
0.665877833	0.001086882	0.036133003	-0.924128163	-0.000197121	0.033381239								
0.675191011	0.001458272	0.034268422	-0.914841641	-0.000203089	0.03338313								
0.682104743	-0.00086155	0.031180161	-0.905555314	-0.000209134	0.033385084								
0.689037976	0.001492669	0.028102321	-0.896269316	-0.000215546	0.033387158								
