exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
0.487439402	0.006896917	0.033802996	-1.24922302	-4.69E-05	0.033341911
0.492831866	0.006617904	0.033969089	-1.239931008	-4.81E-05	0.03334218
0.501922941	0.005693452	0.035797365	-1.230639036	-4.93E-05	0.033342459
0.509672696	0.006805892	0.037720328	-1.221347104	-5.06E-05	0.033342749
0.517549191	0.006069173	0.038543122	-1.212055215	-5.18E-05	0.03334305
0.528712123	0.005206324	0.03598951	-1.20276337	-5.31E-05	0.033343362
0.534004723	0.006207405	0.033853494	-1.193471571	-5.45E-05	0.033343685
0.541429324	0.0043202	0.031056629	-1.184179818	-5.59E-05	0.033344021
0.55137603	0.004929693	0.030093815	-1.174888115	-5.73E-05	0.033344369
0.560365458	0.003445772	0.032512453	-1.165596462	-5.88E-05	0.033344731
0.568445862	0.006266022	0.033489844	-1.156304861	-6.03E-05	0.033345107
0.575430239	0.004126699	0.032231752	-1.147013315	-6.19E-05	0.033345497
0.583947634	0.00472305	0.031504247	-1.137721825	-6.35E-05	0.033345903
0.593100338	0.002780785	0.034793003	-1.128430392	-6.52E-05	0.033346324
0.603132754	0.002568146	0.036006257	-1.11913902	-6.69E-05	0.033346762
0.611088575	0.001837276	0.033999116	-1.10984771	-6.87E-05	0.033347217
0.619973834	0.00425413	0.033001411	-1.100556466	-7.06E-05	0.033347691
0.625718354	0.003436453	0.033223803	-1.091265288	-7.25E-05	0.033348183
0.633613396	0.001418719	0.033821731	-1.08197418	-7.44E-05	0.033348695
0.642271965	0.001242035	0.033986311	-1.072683144	-7.64E-05	0.033349227
0.650064762	0.002162538	0.033043992	-1.063392183	-7.85E-05	0.033349781
0.666875197	0.003104949	0.029568201	-1.054101299	-8.07E-05	0.033350358
0.666875197	0.003104949	0.029568201	-1.044810497	-8.29E-05	0.033350959
0.67729604	0.00200055	0.029889099	-1.035519777	-8.52E-05	0.033351584
0.685219706	0.003320491	0.030149484	-1.026229145	-8.75E-05	0.033352236
0.691836577	0.002526463	0.02983182	-1.016938602	-9.00E-05	0.033352914
0.702012609	-0.000467257	0.028011272	-1.007648154	-9.25E-05	0.033353621
0.708543863	0.000449027	0.026987422	-0.998357803	-9.51E-05	0.033354358
0.716924056	-0.000880776	0.0276404	-0.989067553	-9.78E-05	0.033355127
0.724873239	-0.001534375	0.029810485	-0.979777406	-0.000100619	0.033355928
0.733256427	-0.000788597	0.03019815	-0.970487371	-0.000103503	0.033356764
0.742405051	0.000894662	0.027957113	-0.961197446	-0.000106483	0.033357636
0.748694401	0.001015426	0.026552527	-0.951907641	-0.000109567	0.033358546
0.758461161	-0.001878676	0.025811909	-0.942617957	-0.000112755	0.033359496
0.766557693	-0.00062296	0.026201524	-0.933328402	-0.000116053	0.033360488
0.776716627	-0.000984143	0.027694165	-0.924038977	-0.000119465	0.033361523
0.780149403	-0.001862898	0.028430219	-0.914749692	-0.000122996	0.033362605
0.791354613	-0.003619144	0.031016333	-0.905460548	-0.00012665	0.033363736
0.798748277	-0.004862191	0.031850498	-0.896171553	-0.000130432	0.033364918
0.80911394	-0.004886847	0.03168405	-0.886882714	-0.000134347	0.033366153
0.813767409	-0.002613842	0.031322728	-0.877594035	-0.0001384	0.033367445
0.82426067	-0.004491984	0.030538332	-0.868305524	-0.000142598	0.033368796
0.832251297	-0.004170772	0.030702138	-0.859017187	-0.000146945	0.03337021
0.841871609	-0.002973251	0.032677116	-0.849729032	-0.000151449	0.033371689
0.847841476	-0.004583996	0.034328365	-0.840441066	-0.000156114	0.033373238
0.855941124	-0.004680953	0.03474041	-0.831153297	-0.000160948	0.03337486
0.865136487	-0.005952675	0.031304739	-0.821865733	-0.000165958	0.033376559
